,comment,num_likes
100,반대하면 가정교육 못 받은 건가 가정교육 잘 받은 네놈은 입만 벌리면 너무 뒷다마냐 네가 최고인 것 같지 꼴같잖은 게 어디 함부로 아가리를 놀려,4
101,만약 그들이 진정으로 탈레반과 맞서 싸우고 나라를 지키려는 최대한의 노력을 하면서 일부 인사들이 생명의 위협을 받아 그 망명지로 대한민국을 선택했다면 그건 수용할만함 근데 저들은 그냥 편한 길을 택한 거임 비극적인 사건이지만 미국이 만든 가축들을 왜 대한민국에 수용하려 하는지,8
102,우리 정부는 수용할 준비가 되어있는지 우리 국민 정서에 거리감이 크다 이슬람 이란 문화를 받아들이기는 정부도 국민도 준비가 안되었다 ,9
103,노동력 때문에 이슬람 군 만들 작정인가 바레인 봐라,1
104,혼자 산다는 진중권 집구석이 적당하네 ,2
105,자기들의 욕망으로 벌인 일을 남한테 그 똥 치우게 만드니,2
106,문죄앙 사고 치지 마라 수용하는 순간 나라 이슬람 된다,3
107,왜 미국이 싼 똥을 한국이 치우냐,3
108,탈레반 IS 저 난민들이 불쌍하긴 하지만 그들 중 극단 분자들 섞여들여오면 우리는 어쩌냐를 우리 집 마당까지 끌어들이겠다 그걸 환영해달라 미쳤나 봐,2
109,아프간 난민 찬성자들 명단 길이길이 기억하리 정계 출마 꿈도 꾸지 말라,2
110,야 소잃고 외양간 운운하지 말고 환대 리 지껄이지 말고 안되는 건 안되는 거야 절대로 안 된다,3
111,헬래 반에서 탈출 후 헬 조선 도착 여기 온다 해도 적응 못해서 떠날 가능성 99 이미 똥 남아 애들 인종차별 쩌는데 후진국가에서 온 시커먼 애들은 차별 안 당할 거 같나 차라리 비슷하게 생기고 경제 차이 크게 안 나는 인접 국가 가서 정착하는 게 더 낫다고 본다,2
112,조선족만으로도 골치 아픈데 진중권 이놈은 지 생각만 한다 골치 아픈 정치꾼들은 입 다물라 ,1
113,어려울수록 도와야지 찬성한다 어서 와라 한국에 난민들 다수용 가능함,1
114,도대체 환대해야 된다는 bs들 정체는 머냐 너네 집이나 들여라 ,4
115,가정교육 운운하네 사실상 페드립 아닌가,2
116,이슬람이 호전적 배타적이라면 기독교가 빠질 수 있냐 사랑 제일 교회로 다 집결시켜라 전광훈과 어떻게 지내는지 보고 싶다,1
117,종교를 개종하는 난민만 ,0
118,미친 곳 아니냐 미국 땅덩이 넓은 지네 나라에 자리를 마련해야지 정신 도라이네 ,4
119,중권아 이 문제는 인간성 가정교육이랑은 별개의 문제다,6
120,환대 좋아하시네 화가 난다 차라리 아프간 일부 점령해서 거기서 살라 해라 ,0
121,난민 들였다가 눌러앉죠 두어 달 살다 나가라면 나가겠니 난민인권 주장하며 먹고사는 거 책임지라 하겠지 폼 나게 탈북자 인권 난민인권 챙겨주다 국민들 등골 빠지지 X나 낭만적이고 환상적인 인권충들,3
122,무정부 또 굴욕적인 외교 실력 시전하겠네 ,0
123,문정권은 수용 불가 입장해야 한다 얍삽한 미국 ,1
124,미군 기지가 너네 탕이냐 그리고 망명의 기준지가 탈출해서 처음 닿는 땅이라 하는데 타고 가 미군 용기를 보아 미국으로 할 건지 도착한 육지인 한국으로 할 건지도 문제다,1
125,들여오면 죽인다,1
126,진중권 오지라퍼 입다물라 ,1
127,일본이 아프간 난민 1만 명을 수용한다고 먼저 발표하면 지기 싫어서 2만 명 발표한다고 해라고 하는 것이 우리 국민성 아닌가요 ,0
128,환대해야 하는 놈들 너네 집구석에서 같이 지내라 하지도 못할 거면서 중동 이질은 잔나 놀려요,5
129,저들이 군사력을 키우지도 못하고 자신의 나라에 대한 책임도 없이 저따위로 살아서 저리 된걸 왜 우리가 감당해야 됩니까,7
130,모두 정우성과 진중권 집으로 ,5
131,수용 불가,0
132,진중권 이개 떨리는 아끼는데 가 없구먼 진짜 면상을 어이구,1
133,미군 기지는 미국 땅인데 왜 한국인들이 난리인지 모르겠음 ,1
134,근데 우리도 지금 간신히 고비 넘겨가며 살고 있는 거 아니었어요 힘든 분들도 많고 참 이모저모로 나라 형편도 안 좋은데 난민까지 그것도 이슬람이라 ,4
135,좁아터진 땅에 들어오는 건 반대입니다 우리가 미국 똘마니입니까 미국 하자는 대로 하면 똘마니로 인정되는 꼴 우린 미국 식민지 아니잖아요 당연히 거절해야 합니다,4
136,누구 맘대로 난민 수용지역을 결정하냐 건방진 미국 놈들아 자기들이 맘대로 철수했으면 이 정도 혼란 올 거라고 예상 안 했냐고 누구한테 덤터기 씌우려고 해,7
137,이슬람은 절대 반대,4
138,반대,4
139,환대 왜 한국이 봉이냐 안타까운 일이지만 저 사람들 오면 한국은 김정은 돼지 와 탈레반 개 연합군 온다 과연 미국이 막을 수 있을까 ,3
140,받으려면 난민이 주 찬성하는 사람들 신청받아서 자기들 집에 받으라 해라 아 그러면 신청자없긋네 풋,8
141,국민성은 아직 그대로구나 언제쯤 선진국 다운 모습을 보일 수 있을지 ,2
142,미국 더럽게 생색나면서 바이든 지가 철수 시키고 똥은 우리에게 미국 땅덩어리 넓더구먼 거기로 가라 입국 반대,19
143,우리 후 전국이야 국제법상으로 국제전쟁 언제 일어날지 모른다 이런 상황 되면 고맙다고 우리를 위해 싸워주기는커녕 우리 피난에 걸림돌 될 것들이다 무조건 막아라 지 나라도 버린 것들이다 역사적으로 보면 나라 한 번 버린 놈은 몇 번이고 무한 반복 버리더라,4
144,이슬람교는 나도 매우 걱정되지만 6 25 때 각국의 도움으로 살아난 우리다 아프간 걱정했던 댓글들은 다 어디 갔나 막상 현실이 되니까 쫄리나 이게 우리 국민성 ,4
145, 꼭 자기들 집으론 못 하면서 정의로운 척은 정말 더러운 놈들,4
146,이슬람은 일부다처제이고 한국은 일부 열 첩인데 과연 이건 옹호하다는 민주당과 꼴페미들도 두 손들고 환영할 듯,1
147,어느 놈이 환대하냐 우리가 호구냐 우리는 싫다,5
148,여자와 아이만,0
149,이슬람 포기하는 조건으로,2
150,도와야지요 ,1
151,우리도 흥남철수 땐 그랬다 남일이라고 그러지 마라,0
152,근데 한국민이 뭐라 떠들어대는 건지 미군 기지는 미국 영토랑 동급 취급되는 곳이라 이리저리 뭐라 떠들 처지가 아니다 저들이 기지 밖으로 나오면 이야기가 틀려지지만,0
153,게들이 우리나라 오면 머저리 뭉가는 우리 국민도 못 맞고 있는 백신 맞게 하겠지 이슬람 난민 수용 절대 반대 난민인지 테러리스트인지 구분이 되냐 미얀마 난민이라면 모르겠지만 이슬람 난민은 절대 반대 이슬람 난민은 이슬람 국가로 보내라,10
154,신안으로 보내라 종교만 아니면 별생각 없을 텐데 극악무도한 종교라,4
155,우리는 목숨 걸고 나라 지켰다 입장 바꿔란 말 말아라 나라가 이기면 온몸을 받쳐 지켜야지 ,8
156,진중권 집에 꼭 보내주세요 여기 본인이 셰어하우스 하겠 댔으니 인증도 있고요 그 외에는 찬성하는 사람들 집으로들 보내면 될 듯,4
157,난민이라 거부하는 게 아니고 이슬람 종교 특성상 대한민국과 절대 융합될 수 없고 결국 그들의 뻔뻔함 때문에 우리만 곡소리 날 거임 나라를 잃은 건 너무 안타깝지만 인근 문화권이나 다문화가 존재하는 미국에서 받는 게 맞는다고 봄,11
158,웃기지 마 정작 자국을 아주 망쳐놓고 시민들 살지 못하게 만들어놓고 뭔 타국 사람을 받아들인다 그래 이슬람 국가 만들고 싶냐 ,1
159,아니 근데 기사 안 읽고 댓글 다냐 미국에서 나온 얘긴데 ,0
160,이 글 꼭 읽고 추천 상단 유지 난민들을 사라져가는 농촌의 농업인으로 중소기업 인력으로 적절히 배치하면 된다 너무 걱정 마삼,0
161,받아서 신안 염전으로 보내라 한국 들어올 생각 못 하게,2
162,이슬람 율법보다 한국의 법을 우선시한다면 받아줘도 좋다 ,1
163,어디서 어쭙잖은 것들이 수용을 해야 하네 어쩌고 지러를 하냐 이슬람 인종이 어떤 인종인 것을 알고나 나불거리는지 이런 종자들이 동네 캣 맘 마인드라니까 절대 자기가 키우지 않는 어줍지 않는 동정심 해소에 남에게 피해만 주는 같잖은 것들이 입만 살아서,2
164,이슬람이 폭력적인 종교라고 전광훈의 기독교는 폭력적이지 않나요 어느 사회이든 극우가 문제죠 독일식 극우 일본식 극우 이슬람식 극우 특히 사우디아라비아 한국식 극우 전광훈이 같은 개망나니 먹자들 있다고 해서 기독교인들 전체가 개차반 아니듯 이슬람도 그렇습니다 무지는 두려움을 낳고 두려움은 혐오를 낳지요,0
165,이슬람을 경계하고 철저한 검증을,0
166,저 사람들 이슬람교 늘리기 위해 딴 나라 늙은 여자 남자랑 결혼해서 국적 받고 이혼하는 걸 교육하는 나라임 거기다 여자는 그 나라에서 애 많이 낳아서 이슬람 종교인 늘리는 게 목표임 한국 땅에 이슬람 종교전쟁 보고 싶으면 받아라 한국미래를 이슬람에게 주는 꼴 딴 나라 사람은 받아도 저 사람들은 안됩니다 여자 어린애 강간을 놀이처럼 생각한다 난민 코스프레에 속지 말자,5
167,반대사는 사람들을 비판만 할 것은 아닌듯싶습니다 거의 많은 사람들이 그들이 가지고 있는 종교의 특성 때문 이지 그 사람들이 싫어서는 아닐 겁니다,0
168,미친,3
169,절대 반대 미국 지네들이 대려 왔으면 지네들이 책임져야지 왜 우리나라에 맡기는 거야,2
170,종교로 분열되는 인구는 절대 받아줄 수 없다 지금도 기독교와 불교가 융화되는데 몇십 년이 흘렀는데 절대 불가 ,0
171,같은 문화권이 난민들에게도 편합니다 레바논을 보세요 어찌 되었는지,1
172,한국 땅 큽니까 우리 나란 제발 오지 마세요,1
173,이북이나 중국으로 보내거라,0
174,이건 아니라고 봄 아닌 건 아닌 거야,3
175,우리는 어려웠던 시절 일제 강점기 땐 독립군이 되거나 의열단 애국단에 들어가 일제에 맞섰고 6 25 때도 수많은 장병 등이 북괴에 맞서 지켜냈다 저 아프간은 싸우기는 싫고 잘 사는 나라 도움을 받는 것을 당연하듯 생각하는 감사함을 모르는 이슬람 애들이다 홍콩 난민이면 몰라도 이슬람은 이슬람 국가가 책임져야 한다,6
176,이슬람권으로 쳐보네 지두 종교가 진나라들 내버려 두고 엄한 나라 기어들어와서 그 나라 법 뮤 시하고 자기들 종교 교리 운운 처하는 정신이상자들,3
177,난민 찬성하는 놈들 집에다 배정해라 그리고 집 밖으로 외출 금지해라 얼마나 견디는지 보자 ,2
178,직접 수용해봐라 저 사람들은 당신부터 이슬람교 안 믿는다고 나쁜 사람 취급 당할 것이다 내가 직접 겪었다 그리고 여자는 소유물로 안다 남의 문화 존중 역사 따위 개무시하는 저쪽 사람들임 다수 모이는 순간 우리나라 권력 행사하려 들 것이다 심지어 국적 받으려고 늙은 남자 여자 결혼해서 이혼하는 걸 교육까지 받는 사람들임 지금 말이 되는 소리를 해야지,7
179,각자 자기 나라에서 삽시다,4
180,환대 같은 개소리하고 있네 언제 우리도 아프간 꼴 날지 모르는데 난민을 걱정하고 수용하게 생겼냐고,4
181,단 이슬람을 불교로 개종한다면 받아 준다고 해라 관광 오는 것도 아니니 그 정도의 각오는 해야지 않겠나 ,2
182,보수들 뭐 해 미국 거는 똥도 좋아하지 않냐 한집에 한 명씩 받아서 애국심을 보여 봐라 석렬이도 개도 키우고 아프간 인도 하나 키우고 딱이네 ,3
183,정우성네 집에다가 다 수용해라 ,7
184,이슬람 무조건 반대 찬성하는 정당 및 정치인 표는 무조건 없다 봐야 한다 인도주의적이라도 이슬람은 안됨 개종하고 살아도 될까 말까 우리나라 보통의 정서와 다름 나의 아내와 딸을 위해서라도 이슬람은 반대함 ,10
185,대한민국 사람의 종교의 의미랑 저 나라의 종교의 의미랑 다르다는 걸 모르니 저런 비판인 거죠 괜히 자살테러가 나는 게 아님 탈레반의 경우 지하드 때 전사하면 천국 간다고 생각한다는데 그 천국 내용도 알면 경악 못 배웠다고 비판하지 말란 법도 없고 내가 싫으면 그만인데 저질 고질 따지는 것 자체가 배운 척 잘난 척은 아닌지 ,0
186,누가 환대한다는 거임 안타깝지만 여기까지 오는 건 반대 ,2
187,저 사람들 도망쳐서 약해 보여도 굉장히 폭력적입니다 권위적이고 남성 중심의 끝판왕인 사람들 다수 모이면 꼭 힘 행사하려 들고 다른 나라 문화 존중 없어요 우리 미래 애들이 저것들 감당해야 됩니다 절대 안 됩니다 누군 인류애 없는 줄 아나 저 사람들 직접 겪는 순간 고개절래절래임,16
188,좌파들은 외국인들이 한국에 정착하게 되면 저들한테 표 줄어라는 착각 때문에 자꾸 외인들을 받는 것 같다 표 받자고 위험을 감수하냐 좌파들은 진짜 돌 아이들 같다,6
189,목숨 바쳐 나라를 구할 의지도 없는 것들인데 왜 저런 종족을 구해줘야 하나요,2
190,미국도 버린 나라 때문에 안타깝지만 우리나라도 테러 피해 국 되기 싫음 그런 짓 하지 마라 득보다 실이 크다,6
191,신중해야 한다 잠시 머물다 간다면 우리 집이라도 나도 쉐에 하겠지만 평생 같이 산다면 여러 가지 문제가 생긴다 같은 민족끼리 결혼을 해도 종교적 신념은 참고 대상인데 이슬람 종교는 완전히 다른 차원이다 후대를 생각해서 잘 선택해야 함 ,8
192,우리나라 미래를 보는 듯 주한미군 철수하고 한국 난민을 다른 나라들이 거부하고 ,0
193,자신의 이익만 추구하는 미국 떠나라,0
